"BehaviorSpace results (NetLogo 6.3.0)",,,,,,,,,,,,,,,,,
"PSO_NL_Template.nlogo",,,,,,,,,,,,,,,,,
"particle-inertia-f7-c9-rejection",,,,,,,,,,,,,,,,,
"12/30/2022 21:31:59:414 +0100",,,,,,,,,,,,,,,,,
"min-pxcor",max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
"-100",100,-100,100,,,,,,,,,,,,,,
"[run number]",trails-mode,particle-inertia,path-to-load,swarm-confidence,highlight-mode,penalty-coefficient,constraint_handling_method,Constraint,fitness_function,Constraints,path-to-save,population-size,personal-confidence,particle-speed-limit,[step],global-best-val,iterations
"41",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,1,1,2
"42",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"44",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,1,1,2
"45",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"43",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"46",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"47",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9707968004100943,600
"48",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"49",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,10,1,11
"50",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"51",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"52",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9611585163984322,600
"53",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"57",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"54",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9327562822388585,600
"55",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"56",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"58",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,2,1,3
"59",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"60",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
